FID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID
1,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001
2,36,067,004400,1,360670044001,Block Group 1,G5030,S,437924,0,+43.0404975,-076.1258585,360670044001
3,36,067,004400,2,360670044002,Block Group 2,G5030,S,356530,0,+43.0331087,-076.1263568,360670044002
4,36,067,004500,1,360670045001,Block Group 1,G5030,S,214557,0,+43.0392797,-076.1166245,360670045001
5,36,067,004500,2,360670045002,Block Group 2,G5030,S,331983,0,+43.0338770,-076.1152333,360670045002
6,36,067,004600,2,360670046002,Block Group 2,G5030,S,1334606,0,+43.0381938,-076.0929786,360670046002
7,36,067,004600,5,360670046005,Block Group 5,G5030,S,681040,0,+43.0445816,-076.0991925,360670046005
8,36,067,004600,4,360670046004,Block Group 4,G5030,S,495862,0,+43.0411162,-076.1101981,360670046004
9,36,067,004600,3,360670046003,Block Group 3,G5030,S,756088,0,+43.0358899,-076.1069229,360670046003
10,36,067,000200,2,360670002002,Block Group 2,G5030,S,428605,0,+43.0712288,-076.1611810,360670002002
11,36,067,000200,1,360670002001,Block Group 1,G5030,S,666694,0,+43.0770562,-076.1566115,360670002001
12,36,067,000300,1,360670003001,Block Group 1,G5030,S,260821,0,+43.0802512,-076.1460518,360670003001
13,36,067,000300,2,360670003002,Block Group 2,G5030,S,314091,0,+43.0819965,-076.1502767,360670003002
14,36,067,000400,2,360670004002,Block Group 2,G5030,S,317998,0,+43.0733730,-076.1405155,360670004002
15,36,067,000400,3,360670004003,Block Group 3,G5030,S,273895,0,+43.0760553,-076.1425404,360670004003
16,36,067,003900,3,360670039003,Block Group 3,G5030,S,482120,0,+43.0382458,-076.1628761,360670039003
17,36,067,004200,2,360670042002,Block Group 2,G5030,S,758403,0,+43.0383537,-076.1499445,360670042002
18,36,067,005300,2,360670053002,Block Group 2,G5030,S,472271,0,+43.0328291,-076.1479061,360670053002
19,36,067,005601,1,360670056011,Block Group 1,G5030,S,1649089,7491,+43.0233022,-076.1210584,360670056011
20,36,067,006000,3,360670060003,Block Group 3,G5030,S,457858,0,+43.0070792,-076.1570155,360670060003
21,36,067,004600,1,360670046001,Block Group 1,G5030,S,597074,0,+43.0434829,-076.0848529,360670046001
22,36,067,004800,1,360670048001,Block Group 1,G5030,S,315593,0,+43.0290100,-076.1852675,360670048001
23,36,067,004800,2,360670048002,Block Group 2,G5030,S,890486,0,+43.0275675,-076.1944738,360670048002
24,36,067,004900,1,360670049001,Block Group 1,G5030,S,191243,0,+43.0313156,-076.1791110,360670049001
25,36,067,004900,2,360670049002,Block Group 2,G5030,S,605317,57084,+43.0261098,-076.1769245,360670049002
26,36,067,005000,2,360670050002,Block Group 2,G5030,S,463804,0,+43.0230874,-076.1711666,360670050002
27,36,067,005000,1,360670050001,Block Group 1,G5030,S,685451,45948,+43.0290957,-076.1697335,360670050001
28,36,067,005100,3,360670051003,Block Group 3,G5030,S,266485,0,+43.0242119,-076.1623174,360670051003
29,36,067,005200,2,360670052002,Block Group 2,G5030,S,263779,0,+43.0298888,-076.1586664,360670052002
30,36,067,005100,2,360670051002,Block Group 2,G5030,S,285628,0,+43.0200445,-076.1571285,360670051002
31,36,067,005100,1,360670051001,Block Group 1,G5030,S,252175,0,+43.0261754,-076.1593176,360670051001
32,36,067,005400,2,360670054002,Block Group 2,G5030,S,223813,0,+43.0220427,-076.1466698,360670054002
33,36,067,005200,1,360670052001,Block Group 1,G5030,S,264222,0,+43.0335655,-076.1573875,360670052001
34,36,067,005200,3,360670052003,Block Group 3,G5030,S,165126,0,+43.0336655,-076.1623257,360670052003
35,36,067,000900,3,360670009003,Block Group 3,G5030,S,428023,0,+43.0705399,-076.1280758,360670009003
36,36,067,000501,1,360670005011,Block Group 1,G5030,S,430467,0,+43.0660132,-076.1600265,360670005011
37,36,067,000600,3,360670006003,Block Group 3,G5030,S,177972,0,+43.0671758,-076.1548377,360670006003
38,36,067,000600,2,360670006002,Block Group 2,G5030,S,182442,0,+43.0695057,-076.1531133,360670006002
39,36,067,000600,1,360670006001,Block Group 1,G5030,S,256613,0,+43.0722765,-076.1507796,360670006001
40,36,067,000700,2,360670007002,Block Group 2,G5030,S,168044,0,+43.0677233,-076.1462933,360670007002
41,36,067,000700,1,360670007001,Block Group 1,G5030,S,155759,0,+43.0709292,-076.1451069,360670007001
42,36,067,000800,1,360670008001,Block Group 1,G5030,S,314833,0,+43.0700797,-076.1378639,360670008001
43,36,067,000800,2,360670008002,Block Group 2,G5030,S,357725,0,+43.0663704,-076.1395046,360670008002
44,36,067,001000,3,360670010003,Block Group 3,G5030,S,271707,0,+43.0742491,-076.1108388,360670010003
45,36,067,001000,4,360670010004,Block Group 4,G5030,S,296135,0,+43.0715728,-076.1175924,360670010004
46,36,067,000900,2,360670009002,Block Group 2,G5030,S,592671,0,+43.0655687,-076.1293062,360670009002
47,36,067,000900,1,360670009001,Block Group 1,G5030,S,251099,0,+43.0686218,-076.1203214,360670009001
48,36,067,001000,2,360670010002,Block Group 2,G5030,S,305244,0,+43.0709540,-076.1090467,360670010002
49,36,067,001000,1,360670010001,Block Group 1,G5030,S,376424,0,+43.0722521,-076.1025354,360670010001
50,36,067,000501,2,360670005012,Block Group 2,G5030,S,283721,0,+43.0603229,-076.1523834,360670005012
51,36,067,001400,2,360670014002,Block Group 2,G5030,S,139858,0,+43.0636235,-076.1503298,360670014002
52,36,067,001400,1,360670014001,Block Group 1,G5030,S,180340,0,+43.0628790,-076.1461118,360670014001
53,36,067,001400,3,360670014003,Block Group 3,G5030,S,95483,0,+43.0659618,-076.1486583,360670014003
54,36,067,005400,3,360670054003,Block Group 3,G5030,S,162950,0,+43.0243690,-076.1446731,360670054003
55,36,067,005400,4,360670054004,Block Group 4,G5030,S,190173,0,+43.0265452,-076.1484447,360670054004
56,36,067,005300,1,360670053001,Block Group 1,G5030,S,223349,0,+43.0293575,-076.1470637,360670053001
57,36,067,005400,1,360670054001,Block Group 1,G5030,S,170789,0,+43.0256716,-076.1417541,360670054001
58,36,067,005500,3,360670055003,Block Group 3,G5030,S,1070958,0,+43.0135250,-076.1321658,360670055003
59,36,067,005500,2,360670055002,Block Group 2,G5030,S,589794,0,+43.0213692,-076.1353492,360670055002
60,36,067,005500,1,360670055001,Block Group 1,G5030,S,1067813,0,+43.0284654,-076.1345450,360670055001
61,36,067,005602,1,360670056021,Block Group 1,G5030,S,913347,0,+43.0183340,-076.1172105,360670056021
62,36,067,005700,1,360670057001,Block Group 1,G5030,S,563238,0,+43.0163527,-076.1685882,360670057001
63,36,067,005800,2,360670058002,Block Group 2,G5030,S,288038,0,+43.0181792,-076.1532341,360670058002
