DATEEND,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2022/04/05 00:00:00+00,22233181,0053,0053,0,LARCENY,Yes,,10675
2022/02/28 00:00:00+00,22180677,2121,2121,0 BUTTERNUT ST & N TOWNSEND ST,LARCENY,Yes,,10676
2022/02/25 00:00:00+00,22900135,1359,1029,0 CANAL ST & TEALL AVE,LARCENY,,From Motor Vehicle,10677
2022/01/14 00:00:00+00,22118244,2100,2100,0 CENTENNIAL DR,AGGRAVATED ASSAULT,,All Other,10678
2022/01/12 00:00:00+00,22115204,1331,1331,0 CENTENNIAL DR,AGGRAVATED ASSAULT,,,10679
2022/03/02 00:00:00+00,22183394,1745,1752,0 COSTELLO CT,LARCENY,,Unknown,10680
2022/02/19 00:00:00+00,22167961,1205,1400,0 HARBORSIDE DR,LARCENY,,From Motor Vehicle,10681
2022/03/24 00:00:00+00,22215368,0130,0130,0 I81 AND E COLVIN ST,MV THEFT,Yes,Motor Vehicle,10682
2022/03/19 00:00:00+00,22207910,0148,0148,0 IRVING AVE & E GENESEE ST,AGGRAVATED ASSAULT,,,10683
2022/01/08 00:00:00+00,22109956,0306,0306,0 OAKDALE CT,BURGLARY,,From Building,10684
2022/02/09 00:00:00+00,22900107,0000,0430,0 PRESIDENTIAL CT,LARCENY,,From Motor Vehicle,10685
2022/03/11 00:00:00+00,22196526,1330,1330,0 PRESIDENTIAL PL,LARCENY,,All Other,10686
2022/01/25 00:00:00+00,22132027,2100,0700,0 PRESIDENTIAL PLZ,MV THEFT,,Motor Vehicle,10687
2022/03/05 00:00:00+00,22187784,1415,1625,0 PRESIDENTIAL PLZ,BURGLARY,,,10688
2022/02/17 00:00:00+00,22165530,2040,2040,0 W  BEARD AND LANDON,ROBBERY,,All Other,10689
2022/03/22 00:00:00+00,22900206,1329,1400,0 WALSH CIR,LARCENY,,,10690
2022/02/06 00:00:00+00,22149367,1430,1430,1 DESTINY USA DR,LARCENY,,Shoplifting,10691
2022/01/03 00:00:00+00,22900005,1830,1930,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,10692
2022/01/20 00:00:00+00,22125723,1721,1721,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10693
2022/03/06 00:00:00+00,22188605,0726,0726,1 DESTINY USA DR,BURGLARY,Yes,,10694
2022/03/02 00:00:00+00,22187403,1200,1200,1 DESTINY USA DR,LARCENY,Yes,From Building,10695
2022/03/21 00:00:00+00,22211922,1935,1935,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10696
2022/03/06 00:00:00+00,22188804,1124,1124,1 DESTINY USA DR,BURGLARY,,,10697
2022/03/22 00:00:00+00,22218992,1525,1526,1 DESTINY USA DR,LARCENY,,All Other,10698
2022/02/27 00:00:00+00,22178762,1200,1200,1 DESTINY USA DR,LARCENY,,From Building,10699
2022/02/19 00:00:00+00,22168204,1852,1852,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10700
2022/03/21 00:00:00+00,22211831,1812,1812,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10701
2022/01/18 00:00:00+00,22900056,1445,1500,1 DESTINY USA DR,LARCENY,,All Other,10702
2022/02/06 00:00:00+00,22149378,1420,1420,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,10703
2022/03/01 00:00:00+00,22181831,1447,1447,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,10704
2022/03/09 00:00:00+00,22193491,1426,1426,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10705
2022/01/21 00:00:00+00,22127081,1500,1500,1 DESTINY USA DR,LARCENY,,Shoplifting,10706
2022/03/01 00:00:00+00,22181564,1405,1405,1 DESTINY USA DR,ROBBERY,Yes,Purse Snatch,10707
2022/02/07 00:00:00+00,22151012,1740,1740,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10708
2022/03/01 00:00:00+00,22181624,1447,1447,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,10709
2022/01/07 00:00:00+00,21900866,1805,1805,1 DESTINY USA DR,LARCENY,,Of MV Parts/Accessories,10710
2022/03/24 00:00:00+00,22216316,1630,1630,1 DESTINY USA DR,LARCENY,Yes,All Other,10711
2022/01/07 00:00:00+00,22109497,1849,1849,1 DESTINY USA DR,LARCENY,Yes,,10712
2022/01/06 00:00:00+00,22108197,2003,2003,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10713
2022/02/06 00:00:00+00,22149405,1100,1100,1 DESTINY USA DR,MV THEFT,,Motor Vehicle,10714
2022/03/08 00:00:00+00,22192335,1959,1959,1 DESTINY USA DR,LARCENY,,Shoplifting,10715
2022/03/05 00:00:00+00,22195190,1850,1850,1 DESTINY USA DR,LARCENY,,All Other,10716
2022/03/14 00:00:00+00,22200407,1349,1349,1 DESTINY USA DR,BURGLARY,Yes,All Other,10717
2022/03/07 00:00:00+00,22190681,1754,1754,1 DESTINY USA DR,LARCENY,Yes,All Other,10718
2022/01/05 00:00:00+00,22106838,1715,1845,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,10719
2022/01/20 00:00:00+00,22125770,1700,1700,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10720
2022/02/22 00:00:00+00,22171943,1246,1246,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10721
2022/01/05 00:00:00+00,22106821,1744,1744,1 DESTINY USA DR,LARCENY,Yes,From Motor Vehicle,10722
2022/01/12 00:00:00+00,22115522,1815,1815,1 DESTINY USA DR,LARCENY,,All Other,10723
2022/04/04 00:00:00+00,22232631,1645,1645,1 DESTINY USA DR,LARCENY,,All Other,10724
2022/01/18 00:00:00+00,22122418,1111,1111,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10725
2022/01/30 00:00:00+00,22140189,1701,1702,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,10726
2022/01/14 00:00:00+00,22118091,1841,1841,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10727
2022/02/05 00:00:00+00,22150705,1604,1604,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10728
2022/01/10 00:00:00+00,22112982,1716,1716,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,10729
